100|1646|2020-04-22 07:09:37|BLIK|100|100
101|9837|1992-05-14 15:08:12|BLIK|101|101
102|10513|1979-02-20 05:23:33|BLIK|102|102
103|10152|1988-12-04 20:53:13|PayPal|103|103
104|3659|1991-08-11 11:11:27|BLIK|104|104
105|6626|2013-10-18 19:35:23|MasterCard|105|105
106|10532|1972-09-11 10:46:41|Visa|106|106
107|2909|2005-06-12 08:45:42|International Transfer|107|107
108|8844|1998-03-27 05:33:06|MasterCard|108|108
109|5790|2014-02-06 06:44:50|International Transfer|109|109
110|10871|1989-08-18 14:10:12|Visa|110|110
111|8163|2021-01-28 01:03:28|International Transfer|111|111
112|9800|1971-08-12 21:37:26|BitCoin|112|112
113|6838|1985-08-02 01:47:54|Cash|113|113
114|4303|2019-11-15 15:50:56|International Transfer|114|114
115|4245|1992-07-17 18:24:53|BLIK|115|115
116|10952|1993-04-28 13:27:48|International Transfer|116|116
117|4896|1986-06-27 03:08:49|MasterCard|117|117
118|4689|1984-01-03 14:52:55|MasterCard|118|118
119|8606|2006-09-13 15:59:30|Cash|119|119
120|2493|1973-09-06 00:22:57|BitCoin|120|120
121|4578|2015-04-03 19:32:18|BitCoin|121|121
122|4818|1986-11-25 11:24:51|Cash|122|122
123|2943|2016-10-10 04:09:02|BitCoin|123|123
124|4879|2017-05-20 02:02:04|MasterCard|124|124
125|5916|2018-12-18 07:47:31|PayPal|125|125
126|8967|1985-02-19 21:02:48|International Transfer|126|126
127|7839|2011-05-19 11:49:22|International Transfer|127|127
128|7818|1995-12-17 21:12:56|MasterCard|128|128
129|2160|2005-06-27 06:07:27|BLIK|129|129
130|4142|1991-11-21 07:56:28|BLIK|130|130
131|7989|1982-06-29 01:08:22|Cash|131|131
132|9700|2000-02-07 22:32:58|PayPal|132|132
133|8769|2012-11-09 07:54:12|BLIK|133|133
134|8066|1970-05-31 04:35:21|BitCoin|134|134
135|7229|1974-05-26 01:28:14|Cash|135|135
136|4061|2003-06-16 20:03:06|PayPal|136|136
137|9006|1974-10-06 11:37:46|International Transfer|137|137
138|9338|1983-02-05 18:06:46|BitCoin|138|138
139|7168|1973-07-19 02:57:04|BitCoin|139|139
140|6772|2013-03-03 06:37:38|International Transfer|140|140
141|5830|1979-08-19 19:07:44|BitCoin|141|141
142|1943|1983-11-24 21:59:01|Visa|142|142
143|10668|1978-07-18 20:03:15|BitCoin|143|143
144|8981|1976-03-30 16:36:35|Cash|144|144
145|8252|1981-10-26 17:39:44|PayPal|145|145
146|2545|2010-04-30 21:57:04|Visa|146|146
147|8517|2007-05-08 16:02:49|BLIK|147|147
148|2388|1983-11-28 17:26:34|MasterCard|148|148
149|4212|1986-01-30 12:28:52|Cash|149|149
